AtcoCode,Direction,PlateCode,Latitude,Longitude,StopLoadDay,RoutesPassingThrough,RoutesPassingThroughCount,OperatorsPassingThrough,OperatorsPassingThroughCount,ShortCommonName_en,ShortCommonName_ga,isRTPI,HasPole,HasShelter,CarouselType,FlagData,StopAccessibility,WheelchairAccessibility
8220DB000052,0,52,53.35666078,-6.264565282,654," 1, 11, 122, 13, 16, 16d, 40, 44",8, Dublin Bus,1,Dorset Street Upper,Sráid Dorset Uacht,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000315,1,315,53.3470973,-6.261469084,623," 25, 25a, 25b, 25d, 25x, 26, 37, 39, 39a, 39x, 51d, 66, 66a, 66b, 66e, 66x, 67, 67x, 70",19, Dublin Bus,1,Bachelors Walk,Siúlán Bhaitsiléir,1,Pole,No Shelter,Trueform,Trueform,1,1
8220DB000315,0,315,53.3470973,-6.261469084,623," 731, 824, 83, 83a",4," Corduff Travel, Dublin Bus, PJ Martley",3,Bachelors Walk,Siúlán Bhaitsiléir,1,Pole,No Shelter,Trueform,Trueform,1,1
8220DB000747,1,747,53.3399308,-6.255723519,619," 33d, 37, 38, 38a, 38b, 38d, 39, 39a, 70",9, Dublin Bus,1,Kildare Street,Sráid Chill Dara,1,Pole,No Shelter,Short Carousel,Stretched,1,1
8220DB000747,0,747,53.3399308,-6.255723519,619," 11, 145, 155, 46a, 7b, 7d",6, Dublin Bus,1,Kildare Street,Sráid Chill Dara,1,Pole,No Shelter,Short Carousel,Stretched,1,1
8220DB000049,1,49,53.36000424,-6.260853508,594," 33, 40b, 40d, 41, 41b, 41c, 41d",7, Dublin Bus,1,Dorset Street Lower,Sráid Dorset Íocht,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000049,0,49,53.36000424,-6.260853508,594," 1, 11, 13, 16, 16d, 40, 44",7, Dublin Bus,1,Dorset Street Lower,Sráid Dorset Íocht,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8250DB000768,1,768,53.30941819,-6.21877483,561," 116, 118, 133, 145, 155, 2, 32x, 46a, 46e, 47, 533, 7b, 7d, 824, 845, 84x, x2",17," Dublin Bus, Kearns Transport, PJ Martley, Swords Express",4,UCD Belfield,COBÁC Belfield,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8250DB000768,0,768,53.30941819,-6.21877483,561," 133x, 181, 25x, 27x, 39a, 41x, 533, 66x, 67x, 700, 740, 740a, 824, ucd06",14," Aircoach, Dublin Bus, PJ Martley, Roger Phelan, St.Kevin's Bus Service, Swords Express, Wexford Bus",7,UCD Belfield,COBÁC Belfield,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000406,1,406,53.34260615,-6.256124946,550," 25, 25a, 25b, 25d, 26, 66, 66a, 66b, 66e, 67",10, Dublin Bus,1,Nassau Street,Sráid Nassau,1,Pole,No Shelter,Short Carousel,Lolly Pop,1,1
8220DB000406,0,406,53.34260615,-6.256124946,550," 145, 155, 46a, 7b, 7d, 980a, 980b",7," Collins Coaches, Dublin Bus",2,Nassau Street,Sráid Nassau,1,Pole,No Shelter,Short Carousel,Lolly Pop,1,1
8220DB000319,1,319,53.34627443,-6.259279614,546," 1, 13, 140, 155, 40, 44, 83, 83a, 9",9, Dublin Bus,1,Westmoreland Street,Sráid Westmoreland,1,Pole,No Shelter,Trueform,Trueform,1,1
8220DB000017,1,17,53.36307832,-6.258399288,539," 1, 11, 13, 16, 44, 900, 901, 904, 910, 980b",10," Collins Coaches, Dublin Bus, Matthews Coach Hire",3,Drumcondra Rail Stn,Stáis Dhroim Conrach,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000017,0,17,53.36307832,-6.258399288,539," 33, 33e, 41, 41b, 41c, 41d, 700, 740a",8," Aircoach, Dublin Bus, Wexford Bus",3,Drumcondra Rail Stn,Stáis Dhroim Conrach,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001476,1,1476,53.34707369,-6.284676275,532," 25, 25a, 25b, 25d, 25x, 26, 51d, 66, 66a, 66b, 66e, 66x, 67, 67x, 69, 79, 79a, 860",18," Dublin Bus, Express Bus",2,Sarsfield Quay,Cé Sháirséil,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001476,0,1476,53.34707369,-6.284676275,532,145,1, Dublin Bus,1,Sarsfield Quay,Cé Sháirséil,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001443,1,1443,53.34512939,-6.269539559,524," 145, 83, 83a",3, Dublin Bus,1,Civic Offices,Comhairle Cathrach,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001443,0,1443,53.34512939,-6.269539559,524," 37, 39, 39a, 39x, 51d, 69, 69x, 70, 79, 79a, 860",11," Dublin Bus, Express Bus",2,Civic Offices,Comhairle Cathrach,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001358,1,1358,53.34430471,-6.262889389,523," 150, 27, 40, 49, 54a, 56a, 65, 65b, 68, 68a, 68x, 69, 69x, 77a, 77x, 79, 79a",17, Dublin Bus,1,Dame Street,Sráid an Dáma,1,Pole,No Shelter,None,Stretched,1,1
8220DB001358,0,1358,53.34430471,-6.262889389,523,860,1, Express Bus,1,Dame Street,Sráid an Dáma,1,Pole,No Shelter,None,Stretched,1,1
8220DB000047,1,47,53.36391612,-6.257298257,523," 33, 41, 41b, 41c, 41d, 700, 740, 740a",8," Aircoach, Dublin Bus, Wexford Bus",3,Drumcondra Rail Stn,Stáis Dhroim Conrach,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,1
8220DB000047,0,47,53.36391612,-6.257298257,523," 1, 11, 13, 16, 16d, 44, 910, 980b",8," Collins Coaches, Dublin Bus, Matthews Coach Hire",3,Drumcondra Rail Stn,Stáis Dhroim Conrach,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,1
8220DB000819,1,819,53.35630402,-6.265991986,521," 120, 38, 38a, 38b, 38d",5, Dublin Bus,1,Blessington Street,Sráid Bhaile Coimín,0,Pole,No Shelter,Shelter Panel,Circular,1,1
8220DB000819,0,819,53.35630402,-6.265991986,521," 140, 155, 4, 46a, 9",5, Dublin Bus,1,Blessington Street,Sráid Bhaile Coimín,0,Pole,No Shelter,Shelter Panel,Circular,1,1
8220DB000021,1,21,53.3701012,-6.254310599,513," 1, 11, 13, 16, 44, 740, 900, 901, 904, 910, 980b",11," Collins Coaches, Dublin Bus, Matthews Coach Hire, Wexford Bus",4,DCU St Patrick's,DCU Naomh Phádraig,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000021,0,21,53.3701012,-6.254310599,513," 33, 33e, 41, 41b, 41c, 41d, 740, 740a",8," Dublin Bus, Wexford Bus",2,DCU St Patrick's,DCU Naomh Phádraig,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000045,1,45,53.36993643,-6.254106941,511," 33, 41, 41b, 41c, 41d, 740a",6," Dublin Bus, Wexford Bus",2,DCU St Patrick’s,OCBÁC Phádraig,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000045,0,45,53.36993643,-6.254106941,511," 1, 11, 13, 16, 16d, 44, 900, 901, 910, 980b",10," Collins Coaches, Dublin Bus, Matthews Coach Hire",3,DCU St Patrick’s,OCBÁC Phádraig,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000186,1,186,53.36535534,-6.271589978,510," 40b, 40d",2, Dublin Bus,1,Lindsay Grove,Garrán Lindsay,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000186,0,186,53.36535534,-6.271589978,510," 140, 155, 4, 40, 83, 83a, 9",7, Dublin Bus,1,Lindsay Grove,Garrán Lindsay,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000014,1,14,53.35853124,-6.262776506,510," 1, 11, 122, 13, 16, 40, 44",7, Dublin Bus,1,Dorset Street Lower,Sráid Dorset Íocht,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000014,0,14,53.35853124,-6.262776506,510," 40b, 40d",2, Dublin Bus,1,Dorset Street Lower,Sráid Dorset Íocht,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001076,0,1076,53.32313059,-6.265491063,498," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,Swan Centre,Lárionad Swan,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001020,0,1020,53.32513838,-6.265109364,498," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,Rathmines,Ráth Maonais,1,Pole,No Shelter,None,Circular,1,1
8220DB001019,0,1019,53.3265476,-6.264977118,498," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,Military Road,An Bóthar Míleata,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001018,0,1018,53.32758546,-6.264649745,498," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,St Mary's College,Coláiste Mhuire,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001017,0,1017,53.32929965,-6.264475065,498," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,Rathmines Rd Lower,Br Ráth Maonais Íoch,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001016,0,1016,53.33115931,-6.26441458,498," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,South Richmond St,Sráid Richmond Theas,1,Pole,No Shelter,Short Carousel,Lolly Pop,1,1
8250DB002007,1,2007,53.30887504,-6.216111205,490," 17, 181, 700, 740a, ucd06",5," Aircoach, Go-Ahead, Roger Phelan, St.Kevin's Bus Service, Wexford Bus",5,Woodbine Road,Bóthar an Fhéithlinn,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8250DB002007,0,2007,53.30887504,-6.216111205,490," 116, 145, 155, 17, 175, 46a, 47, 7b, 7d, 84x",10," Dublin Bus, Go-Ahead",2,Woodbine Road,Bóthar an Fhéithlinn,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001283,0,1283,53.34180872,-6.26492823,489," 14, 140, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",10, Dublin Bus,1,S Great George's St,Sd Sheoirse Mhór Ths,1,Pole,No Shelter,Short Carousel,Stretched,1,1
8220DB004528,1,4528,53.32889608,-6.26453649,488," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,Grove Park,Páirc an Gharráin,0,Pole,No Shelter,Short Carousel,Circular,1,1
8220DB001072,1,1072,53.33102697,-6.264585114,488," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,South Richmond St,Sráid Richmond Theas,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001071,1,1071,53.32721804,-6.264724712,488," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,St Mary's College,Coláiste Mhuire,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001070,1,1070,53.32498018,-6.265355983,488," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,Rathmines,Ráth Maonais,1,No Pole,Shelter,Shelter Panel,Circular,0,0
8220DB001069,1,1069,53.32328526,-6.265619895,488," 14, 140, 142, 15, 15a, 15b, 15d, 65, 65b, 83, 83a",11, Dublin Bus,1,Swan Centre,Lárionad Swan,1,Pole,No Shelter,Short Carousel,Circular,1,1
8220DB000772,1,772,53.31848526,-6.231321064,486," 116, 118, 133, 145, 155, 46a, 46e, 7b, 7d, 845, 84x, 904, 910",13," Dublin Bus, Kearns Transport, Matthews Coach Hire",3,Donnybrook Garage,Gste Dhomhnach Broc,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000772,0,772,53.31848526,-6.231321064,486," 133x, 25x, 39a, 41x, 66x, 67x, 740, 740a",8," Dublin Bus, Wexford Bus",2,Donnybrook Garage,Gste Dhomhnach Broc,0,No Pole,Shelter,Shelter Panel,Circular,1,1
